Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,576.0,8.0,75.0,1642.0,0.1,36.90700000000002,0.0,0.0,241.66835618019104,,,,,,,,,,,,,,,,,,,,,13.017279622597014,10.437245396833077,36.00267337237659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,623.0,9.0,47.0,1689.0,0.1,32.105999999999995,0.0,0.0,246.10110998153687,,,,,,,,,,,,,,,,,,,,,11.992764556186284,10.84327720033144,31.605519499338424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,717.0,10.0,94.0,1783.0,0.1,66.30699999999999,0.0,0.0,254.55692839622498,,,,,,,,,,,,,,,,,,,,,26.831699907188938,20.740051451888213,63.91258145906091,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,810.0,11.0,93.0,1876.0,0.1,52.306,0.0,0.0,262.94939255714417,,,,,,,,,,,,,,,,,,,,,21.59120530341849,15.52018748370568,50.39876503809324,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,867.0,12.0,57.0,1933.0,0.1,25.407000000000025,0.0,0.0,268.2817687988281,,,,,,,,,,,,,,,,,,,,,9.081145489383461,7.321518910125728,24.939228224325575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,913.0,13.0,46.0,1979.0,0.1,27.104000000000013,0.0,0.0,272.9216208457947,,,,,,,,,,,,,,,,,,,,,9.695717066723025,8.695606799700442,26.71139308971708,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,953.0,14.0,40.0,2019.0,0.1,23.706000000000017,0.0,0.0,276.8700408935547,,,,,,,,,,,,,,,,,,,,,8.067575809874562,8.065857852798683,23.430133805081375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,988.0,15.0,35.0,2054.0,0.1,13.507999999999992,0.0,0.0,280.3032522201538,,,,,,,,,,,,,,,,,,,,,3.571859920338616,4.372844082055363,13.409791075147371,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1042.0,16.0,54.0,2108.0,0.1,31.106000000000016,0.0,0.0,285.38989448547363,,,,,,,,,,,,,,,,,,,,,11.720262634622841,9.724579788081366,30.53414357072825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1181.0,17.0,139.0,2247.0,0.1,73.80900000000004,0.0,0.0,297.73721146583557,,,,,,,,,,,,,,,,,,,,,30.76139708582096,21.818888474221016,69.67244101465923,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1216.0,18.0,35.0,2282.0,0.1,14.507999999999992,0.0,0.0,301.4029734134674,,,,,,,,,,,,,,,,,,,,,3.8987082657136543,4.791223346426139,14.400331473315182,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1251.0,19.0,35.0,2317.0,0.1,11.306999999999992,0.0,0.0,304.93600058555603,,,,,,,,,,,,,,,,,,,,,2.891607811345371,3.4992309342812673,11.22823897631657,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1344.0,20.0,93.0,2410.0,0.1,70.406,0.0,0.0,313.41115951538086,,,,,,,,,,,,,,,,,,,,,28.627024194977512,21.415870762017384,67.87937762574096,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,411.0,1.0,411.0,2821.0,0.1,272.2059999999997,0.0,0.0,499.11987471580505,,,,,,,,,,,,,,,,,,,,,118.61093666176322,64.09420173706071,223.90449010774077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,486.0,2.0,75.0,2896.0,0.1,51.60799999999999,0.0,0.0,505.96594882011414,,,,,,,,,,,,,,,,,,,,,19.606536306530042,16.328582915453925,50.237935409894604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,700.0,3.0,214.0,3110.0,0.1,148.208,0.0,0.0,524.9063229560852,,,,,,,,,,,,,,,,,,,,,67.04372112083833,39.658823435135,134.12876708554475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,827.0,4.0,127.0,3237.0,0.1,103.606,0.0,0.0,536.266768693924,,,,,,,,,,,,,,,,,,,,,47.839228056339365,31.2592442294525,97.72577185478264,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
